,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,153,CHINA SAITE,HKD,"0,49","0,49","0,49",40000
,,,,"0,49","0,485","0,49",19600
,154,BE ENVIRONMENT,HKD,"0,68","0,68",-,-
,,,,"0,68","0,66",-,-
,155,CHINA SOLAR,HKD,TRADING,SUSPENDED,,
,156,LIPPO CHINA RES,HKD,"0,17","0,174",-,-
,,,,"0,17","0,165",-,-
,157,NATURAL BEAUTY,HKD,"0,80","0,84",-,-
,,,,"0,80","0,75",-,-
,158,MELBOURNE ENT,HKD,"190,50","192,00",-,-
,,,,"190,50","190,00",-,-
,159,BROCKMAN MINING,HKD,"0,16","0,17","0,18",428000
,,,,"0,17","0,121","0,17",75308
,160,HON KWOK LAND,HKD,"3,78","3,75","3,76",59000
,,,,"3,75","3,74","3,75",221400
,161,AVIC IHL,HKD,"4,39","4,48","4,54",1076000
,,,,"4,48","4,46","4,30",4827820
,162,CENTURY GINWA,HKD,"0,30","0,30","0,30",490000
,,,,"0,29","0,29","0,29",146630
,163,EMPEROR INT'L,HKD,"1,95","1,97","1,97",970482
,,,,"1,96","1,96","1,95",1901645
,164,CHINA BAOLI TEC,HKD,"0,246","0,24","0,244",485000
,,,,"0,24","0,23","0,23",113220
,165,CHINA EB LTD,HKD,"14,98","14,90","14,96",2638340
,,,,"14,90","14,82","14,68",39145337
,166,NEWTIMES ENERGY,HKD,"0,113","0,112","0,112",525000
,,,,"0,112","0,11","0,107",58737
,167,IDT INT'L,HKD,"0,072","0,074","0,073",742000
,,,,"0,073","0,07","0,069",53662
,168,TSINGTAO BREW,HKD,"32,25","32,35","32,55",1179227
,,,,"32,35","32,20","31,65",37753070
,169,WANDA HOTEL DEV,HKD,"0,62","0,65","0,65",522000
,,,,"0,65","0,64","0,61",328030
,171,SILVER GRANT,HKD,TRADING,SUSPENDED,,
,172,GOLDBOND GROUP,HKD,"0,125","0,128",-,-
,,,,"0,125","0,101",-,-
,173,K. WAH INT'L,HKD,"3,92","4,03","4,04",6330237
,,,,"4,03","4,02","3,91",25266998
,174,GEMINI INV,HKD,"0,83","0,90","0,85",2000
,,,,"0,85","0,75","0,85",1700
,175,GEELY AUTO,HKD,"15,84","15,74","16,00",42346533
,,,,"15,74","15,72","15,40",661270797
,176,SUPERACTIVE GP,HKD,"0,305","0,31","0,305",256000
,,,,"0,305","0,305","0,30",77260
,177,JIANGSU EXPRESS,HKD,"10,72","10,78","10,84",3675582
,,,,"10,78","10,74","10,64",39497069
,178,SA SA INT'L,HKD,"3,25","3,22","3,27",5223847
,,,,"3,20","3,20","3,16",16729120
,179,JOHNSON ELEC H,HKD,"18,24","18,34","18,36",344750
,,,,"18,30","18,30","18,02",6298215
,180,KADER HOLDINGS,HKD,"0,94","0,98","0,97",174000
,,,,"0,93","0,94","0,91",161780
,181,FUJIAN HOLDINGS,HKD,"0,192","0,189",-,-
,,,,"0,189","0,175",-,-
,182,CONCORD NE,HKD,"0,295","0,31","0,31",6050000
,,,,"0,31","0,305","0,295",1843300
,183,WINFULL GP,HKD,"0,118","0,12","0,12",984000
,,,,"0,118","0,117","0,117",116208
,184,KECK SENG INV,HKD,"5,76","5,55","5,77",294261
,,,,"5,55","5,50","5,60",1689003
,185,ZH INT'L HOLD,HKD,"0,25","0,25","0,245",50000
,,,,"0,245","0,24","0,245",12250
,186,NIMBLE HOLDINGS,HKD,"0,66","0,80",-,-
,,,,"0,66","0,55",-,-
,187,JINGCHENG MAC,HKD,"1,44","1,45","1,45",8000
,,,,"1,45","1,43","1,44",11540
,188,SUNWAH KINGSWAY,HKD,"0,059","0,06","0,06",1100000
,,,,"0,06","0,058","0,058",65320
,189,DONGYUE GROUP,HKD,"4,51","4,63","4,64",5450300
,,,,"4,63","4,62","4,45",24843345
,190,HKC (HOLDINGS),HKD,"6,38","6,52","6,55",576493
,,,,"6,51","6,49","6,39",3743987
,191,LAI SUN INT'L,HKD,"11,98","12,20","12,30",109415
,,,,"12,14","11,98","11,58",1290556
,193,CAPITAL ESTATE,HKD,"0,09","0,099","0,099",6750035
,,,,"0,098","0,095","0,091",652071
,194,LIU CHONG HING,HKD,"11,96","11,90","11,96",52000
,,,,"11,90","11,80","11,84",618960
,195,GREENTECH INTL,HKD,"0,075","0,075","0,073",40000
,,,,"0,073","0,072","0,071",2860
,196,HONGHUA GROUP,HKD,"0,485","0,485","0,49",4407000
,,,,"0,485","0,48","0,48",2139815
,197,HENG TAI,HKD,"0,28","0,28","0,28",1133404
,,,,"0,28","0,265","0,265",312771
,198,SMI HOLDINGS,HKD,TRADING,SUSPENDED,,
,199,ITC PROPERTIES,HKD,"2,34","2,36","2,36",807983
,,,,"2,35","2,35","2,32",1892491
,200,MELCO INT'L DEV,HKD,"16,56","16,58","16,62",3648515
,,,,"16,54","16,54","16,26",60136754
,201,MAGNIFICENT,HKD,"0,179","0,178","0,184",410000
,,,,"0,175","0,175","0,175",73816
,202,EVERCHINA INT'L,HKD,"0,30","0,31","0,31",5704000
,,,,"0,31","0,30","0,30",1738585
,204,CHINA INV DEV,HKD,TRADING,SUSPENDED,,
,205,SEEC MEDIA,HKD,"0,019","0,02","0,02",55000
,,,,"0,018","0,018","0,018",970
,206,TSC GROUP,HKD,"0,50","0,495","0,455",83000
,,,,"0,46","0,46","0,455",37765
,207,JOY CITY PPT,HKD,"0,87","0,88","0,89",2224000
,,,,"0,87","0,87","0,87",1951100
,208,POLYTEC ASSET,HKD,"0,70","0,70","0,70",98700
,,,,"0,70","0,69","0,68",68429
,209,WINSHINE SCI,HKD,"0,055","0,055","0,057",28000
,,,,"0,055","0,053","0,053",1508
,210,DAPHNE INT'L,HKD,"0,275","0,275","0,275",374000
,,,,"0,275","0,265","0,26",98930
,211,STYLAND HOLD,HKD,"0,049","0,048","0,048",1200000
,,,,"0,048","0,044","0,042",53320
